date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:58	53129/53129	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html	(from )
13:15:59	112/112	---M-Z	200	added ('OK')	text/plain	date:Thu,%2017%20Nov%202022%2007:45:59%20GMT	http://irsfoundation.com/robots.txt		(from )
13:16:00	3309/3309	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/favicon/favicon.png	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/favicon/favicon.png	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:16:00	3309/3309	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/favicon/apple-touch-icon.png	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:16:01	9994/9994	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/favicon/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/favicon/apple-touch-icon-72x72.png	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:16:02	20254/20254	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/favicon/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/favicon/apple-touch-icon-114x114.png	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:16:03	29062/29062	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/font-awesome.min.css	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/font-awesome.min.css	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:16:03	1883/1883	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/flaticon.css	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/flaticon.css	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:16:04	121200/121200	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/bootstrap.min.css	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/bootstrap.min.css	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:16:05	28228/28228	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/favicon/apple-touch-icon-144x144.png	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/favicon/apple-touch-icon-144x144.png	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:16:05	76783/76783	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/animate.css	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/animate.css	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:16:06	4614/4614	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/owl.carousel.css	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/owl.carousel.css	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:16:06	1055/1055	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/owl.theme.css	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/owl.theme.css	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:16:07	1729/1729	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/slick.css	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/slick.css	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:16:07	3158/3158	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/slick-theme.css	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/slick-theme.css	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:16:08	4638/4638	---M-Z	200	added ('OK')	text/css	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/owl.transitions.css	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/owl.transitions.css	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
